"ORDERID","ORDERDATE","ORDERSTATUS","TOTALAMOUNT","SHIPPINGCOST","TAXAMOUNT","DISCOUNT","DELIVERYDATE","SHIPMENTSTATUS","SHIPMENTMETHOD","CUSTOMERID","PAYMENTID","PRODUCTID","DATE_ID"
1,01-JAN-22,"Processed                                         ",630,10,8,,05-JAN-22,"Shipped                                           ","USPS                                              ",1,1,1,20220101
2,01-FEB-22,"Paid                                              ",99,5,12,,06-FEB-22,"Shipped                                           ","FedEx                                             ",2,2,2,20220205
3,01-MAR-22,"Paid                                              ",60,2,6,10,07-MAR-22,"Shipped                                           ","UPS                                               ",3,3,3,20220309
4,15-APR-22,"Processed                                         ",55,5,5,5,15-APR-22,"Label Created                                     ","FedEx                                             ",4,4,4,20220415
5,22-MAY-22,"Pending                                           ",75,2,5,,22-MAY-22,"Label Created                                     ","USPS                                              ",5,5,5,20220520
6,22-MAY-22,"Paid                                              ",50,2,6,9,22-MAY-22,"Shipped                                           ","USPS                                              ",3,3,3,20220520
7,24-DEC-21,"Processed                                         ",930,25,74,5,25-DEC-21,"Shipped                                           ","UPS                                               ",20,5,3,20211248
26,30-APR-22,"Pending                                           ",1000,20,80,89,30-APR-22,"Label Created                                     ","USPS                                              ",9,1,10,20220416
27,04-JUN-22,"Processed                                         ",1200,20,96,9,24-DEC-21,"Shipped                                           ","USPS                                              ",10,1,6,20220621
28,24-JAN-22,"Processed                                         ",80,0,6,9,26-JAN-22,"Shipped                                           ","USPS                                              ",1,2,9,20220104
29,01-MAR-22,"Processed                                         ",750,20,60,7,03-MAR-22,"Shipped                                           ","USPS                                              ",7,4,6,20220309
30,20-MAY-22,"Pending                                           ",100,2,8,6,28-MAY-22,"Label Created                                     ","USPS                                              ",8,2,5,20220519
8,03-JAN-22,"Delivered                                         ",75,4,5,0,22-JAN-22,"Shipped                                           ","UPS                                               ",22,2,12,20220101
9,01-MAR-22,"Delivered                                         ",82,7,6,10,08-MAR-22,"Shipped                                           ","FedEx                                             ",3,8,1,20220309
10,04-JAN-22,"Delivered                                         ",12,3,1,0,12-JAN-22,"Shipped                                           ","UPS                                               ",1,12,2,20220101
11,10-FEB-22,"Cancelled                                         ",14,4,1,0,12-FEB-22,"Not Shipped                                       ","None                                              ",2,10,5,20220206
12,01-FEB-22,"Cancelled                                         ",18,4,1,0,05-FEB-22,"Not Shipped                                       ","None                                              ",14,9,29,20220205
13,12-MAR-22,"Delivered                                         ",22,4,1,0,15-MAR-22,"Shipped                                           ","UPS                                               ",18,1,22,20220310
14,14-JAN-22,"Delivered                                         ",8,2,2,0,18-JAN-22,"Shipped                                           ","FedEx                                             ",11,3,28,20220101
15,02-MAR-22,"Delivered                                         ",11,4,2,0,08-MAR-22,"Shipped                                           ","UPS                                               ",12,2,30,20220309
16,08-JAN-22,"Delivered                                         ",70,7,4,0,12-JAN-22,"Shipped                                           ","UPS                                               ",7,4,3,20220102
17,10-MAR-22,"Delivered                                         ",24,4,2,5,15-MAR-22,"Shipped                                           ","FedEx                                             ",8,5,6,20220310
18,25-MAR-22,"Cancelled                                         ",50,4,4,0,28-MAR-22,"Not Shipped                                       ","None                                              ",6,7,8,20220312
19,24-DEC-21,"Processed                                         ",930,25,74,4,25-DEC-21,"Shipped                                           ","UPS                                               ",20,1,2,20211248
20,01-JAN-22,"Processed                                         ",90,5,12,6,02-JAN-22,"Shipped                                           ","FedEx                                             ",2,3,4,20220101
21,24-DEC-21,"Processed                                         ",450,5,36,10,25-DEC-21,"Shipped                                           ","UPS                                               ",15,4,5,20211248
22,15-MAY-22,"Pending                                           ",55,0,5,50,20-MAY-22,"Label Created                                     ","FedEx                                             ",10,5,6,20220519
23,22-MAY-22,"Paid                                              ",75,0,6,10,25-MAY-22,"Label Created                                     ","USPS                                              ",15,1,7,20220520
24,01-JAN-22,"Processed                                         ",750,20,60,7,01-JAN-22,"Shipped                                           ","UPS                                               ",14,1,5,20220101
25,25-DEC-21,"Processed                                         ",800,20,64,5,25-DEC-21,"Shipped                                           ","FedEx                                             ",10,1,6,20211248
