"REVIEWID","PRODUCTID","CUSTOMERID","RATING","REVIEWDATE","Comment","DATE_ID"
1,1,1,5,04-JAN-22,"Great product                                                                                                                                                                                           ",20220101
2,2,2,4,20-JAN-22,"Carpet cleaner did its job.                                                                                                                                                                             ",20220103
3,3,3,3,02-FEB-22,"Soap detergent is ok. Not sure what they put in it.                                                                                                                                                     ",20220205
4,4,4,2,05-MAR-22,"Does not charge when plugged in half the time.                                                                                                                                                          ",20220309
5,5,5,1,16-APR-22,"Does not work.                                                                                                                                                                                          ",20220415
6,5,4,1,17-APR-22,"Does not even work.                                                                                                                                                                                     ",20220415
7,8,5,2,01-MAY-22,"Crap quality                                                                                                                                                                                            ",20220517
8,8,5,2,02-MAY-22,"It broke on arrival. The art was cut in half basically. DONTBUY!                                                                                                                                        ",20220517
9,7,2,1,20-JUN-22,"WTF. This is trash.                                                                                                                                                                                     ",20220623
10,5,2,1,21-JUN-22,"Doth not worketh on demand.                                                                                                                                                                             ",20220623
11,6,4,5,22-JUN-22,"Not bad for the price. Functions well                                                                                                                                                                   ",20220623
12,7,4,2,23-JUN-22,"Trash.                                                                                                                                                                                                  ",20220623
13,7,5,2,20-JUN-22,"Quite bad for the quality. Broke on me.                                                                                                                                                                 ",20220623
14,10,5,5,15-MAY-22,"Very good                                                                                                                                                                                               ",20220519
15,9,5,5,16-MAY-22,"Best product!                                                                                                                                                                                           ",20220519
