"ID","REVIEWDATE","SELLERID","RATING","DATE_ID"
1,04-JAN-22,1,2,20220101
2,04-FEB-22,2,4,20220205
3,04-MAR-22,3,1,20220309
4,10-APR-22,4,4,20220413
5,22-APR-22,5,4,20220416
6,23-APR-22,6,4,20220416
7,24-APR-22,7,2,20220416
8,25-APR-22,8,2,20220416
9,03-MAY-22,9,5,20220517
10,05-MAY-22,10,5,20220517
11,05-JAN-22,16,3,20220101
12,04-MAR-22,17,2,20220309
13,24-MAR-22,16,3,20220312
14,30-APR-22,18,2,20220416
15,02-MAY-22,20,2,20220517
16,03-JAN-22,21,1,20220101
17,02-MAR-22,22,2,20220309
18,01-MAR-22,21,4,20220309
19,25-FEB-22,25,5,20220208
20,02-MAR-22,21,3,20220309
